customer_id,gender,age,payment_method
C971218,,56.0,Cash
C949846,Male,22.0,Cash
C440398,Female,53.0,Debit Card
C113971,Female,65.0,Credit Card
C529879,Female,51.0,
C209092,Male,62.0,Cash
C254260,Female,20.0,Debit Card
C148693,Female,50.0,Credit Card
C255862,Female,54.0,Cash
C787552,Female,35.0,Credit Card
C122409,Female,41.0,Cash
C367305,Female,69.0,Credit Card
C232750,Female,50.0,Credit Card
C266019,Female,25.0,Debit Card
C117147,Male,60.0,Debit Card
C207762,Male,20.0,Debit Card
C285904,Female,67.0,Cash
C606826,Male,35.0,Cash
C179544,Male,62.0,Credit Card
C385569,Male,38.0,Debit Card
C195364,Male,23.0,Debit Card
C146365,Male,40.0,Credit Card
C129692,Female,33.0,Cash
C125863,Female,64.0,Cash
C119859,Male,32.0,Cash
C726265,Female,41.0,Debit Card
C185018,Male,34.0,Debit Card
C228319,Male,29.0,Credit Card
C678156,Male,51.0,Cash
C300184,Male,31.0,Cash
C589755,Male,64.0,Credit Card
C986049,Female,58.0,Credit Card
C288757,Female,61.0,Cash
C336405,Male,46.0,Cash
C283436,Female,29.0,Credit Card
C949199,Male,29.0,Credit Card
C138697,Male,22.0,Credit Card
C308742,Male,24.0,Cash
C175780,Male,25.0,Cash
C987463,Male,23.0,Credit Card
C166851,Male,48.0,Cash
C633584,Female,57.0,Cash
C260791,Female,63.0,Debit Card
C163425,Male,28.0,Debit Card
C715633,Female,65.0,Cash
C276940,Female,60.0,Debit Card
C468089,Female,28.0,Cash
C116240,Female,38.0,Credit Card
C505924,Female,19.0,Debit Card
C179024,Female,41.0,Cash
C314924,Male,50.0,Credit Card
C254022,Male,19.0,Credit Card
C222212,Female,44.0,Cash
C783777,Female,39.0,Cash
C767828,Female,52.0,Cash
C575944,Female,60.0,Credit Card
C316606,Male,56.0,Credit Card
C285241,Male,20.0,Credit Card
C304266,Female,34.0,Credit Card
C328280,Female,41.0,Debit Card
C298383,Female,33.0,Cash
C269721,Female,38.0,Cash
C179174,Female,46.0,Cash
C176532,Female,45.0,Credit Card
C138475,Male,57.0,Cash
C334798,Female,52.0,Debit Card
C584738,Male,20.0,Cash
C104117,Female,52.0,Debit Card
C117735,Male,54.0,Cash
C617119,Female,37.0,Cash
C300375,Male,41.0,Credit Card
C151050,Female,18.0,Cash
C108111,Male,41.0,Credit Card
C515929,Female,67.0,Credit Card
C713667,Male,42.0,Credit Card
C958954,Female,26.0,Cash
C281454,Male,23.0,Debit Card
C205958,Male,62.0,Cash
C129551,Male,31.0,Cash
C940446,Female,46.0,Cash
C573177,Female,61.0,Debit Card
C294786,Male,69.0,Cash
C132528,Male,69.0,Debit Card
